Rec,State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
175,Idaho,2006,12.796999755395685,29.38992014388489,27.807631414868105,0.03623244292565949,0.05016547841726617,43.121009112709835,1.5808273477218227,2.921134748201438,3.2761035159831984,0.3214509184652279,0.5053715059952042,5.054315432244804,19.814764868951485,26.5,8.0,4.076923076923077,50.73076923076923,1.4615384615384615,1.2115384615384615,2.480769230769231,9.403846153846153,36.17307692307692
176,Idaho,2007,10.606116381294965,27.16402350119904,25.706286650679456,0.03546530007993607,0.050165474820143864,43.116643964828135,1.1264535723421263,2.2986222062350112,2.499562435313731,0.2546952382094325,0.40713975699440486,4.133828837618939,18.864080472110068,26.5,8.0,3.4038461538461537,51.80769230769231,1.3461538461538463,0.9038461538461539,2.769230769230769,9.173076923076923,37.61538461538461
177,Idaho,2008,8.415233007194246,24.938126858513186,23.604941886490806,0.034698157234212657,0.05016547122302156,43.11227881694644,0.6720797969624299,1.6761096642685844,1.7230213546442643,0.18793955795363715,0.3089080079936055,3.2133422429930727,17.913396075268647,22.72093023255814,8.0,3.4651162790697674,50.0,1.0465116279069768,1.0930232558139534,2.441860465116279,9.511627906976743,35.883720930232556
178,Idaho,2009,6.224349633093527,22.712230215827336,21.503597122302157,0.033931014388489236,0.050165467625899254,43.10791366906475,0.21770602158273378,1.0535971223021574,0.9464802739747976,0.12118387769784178,0.21067625899280623,2.2928556483672065,16.962711678427226,25.416666666666668,8.0,3.7083333333333335,53.958333333333336,1.7916666666666667,1.5833333333333333,3.4166666666666665,9.708333333333334,37.458333333333336
179,Idaho,2010,9.373370935211273,25.41267605633803,23.971830985915492,0.026224453521126685,0.03911126760563348,33.274647887323944,0.32105837042253493,0.7829577464788738,0.7508361204013454,0.17992568943661974,0.3287323943661958,2.863600844440224,15.215228959520251,27.77777777777778,8.0,3.8333333333333335,51.5,1.1666666666666667,1.1666666666666667,2.111111111111111,9.944444444444445,37.111111111111114
180,Idaho,2011,9.925650260869565,18.417391304347827,16.91304347826087,0.012998608695652164,0.024652173913043463,20.91304347826087,0.7152670869565216,1.7413043478260881,1.385172798216275,0.272311456521739,0.5019565217391305,3.825235871996886,10.759123906683726,26.0,8.0,4.1,58.94,0.92,0.86,2.08,11.02,44.06
181,Idaho,2012,7.940520208695652,14.733913043478262,13.530434782608697,0.010398886956521731,0.01972173913043477,16.730434782608697,0.5722136695652174,1.3930434782608705,1.1081382385730199,0.2178491652173912,0.4015652173913044,3.0601886975975088,8.60729912534698,26.5,8.0,3.25,55.94230769230769,0.8653846153846154,0.7692307692307693,2.423076923076923,10.538461538461538,41.34615384615385
182,Idaho,2013,5.955390156521739,11.050434782608697,10.147826086956522,0.007799165217391299,0.014791304347826079,12.547826086956523,0.42916025217391296,1.0447826086956529,0.831103678929765,0.1633868739130434,0.3011739130434783,2.2951415231981316,6.455474344010235,26.5,8.0,3.3846153846153846,62.23076923076923,0.8653846153846154,0.9807692307692307,2.25,12.634615384615385,45.5
183,Idaho,2014,3.970260104347826,7.36695652173913,6.765217391304347,0.0051994434782608664,0.009860869565217386,8.365217391304348,0.2861068347826086,0.6965217391304352,0.55406911928651,0.10892458260869559,0.20078260869565223,1.5300943487987544,4.30364956267349,27.0,8.0,3.641509433962264,61.943396226415096,0.8301886792452831,1.2641509433962264,2.6226415094339623,10.830188679245284,46.0188679245283
184,Idaho,2015,1.985130052173913,3.683478260869565,3.3826086956521735,0.0025997217391304332,0.004930434782608694,4.182608695652174,0.14305341739130428,0.3482608695652176,0.2770345596432551,0.05446229130434779,0.10039130434782612,0.7650471743993772,2.151824781336745,26.5,8.0,3.9038461538461537,65.96153846153847,0.8461538461538461,0.8269230769230769,2.5961538461538463,12.557692307692308,49.13461538461539
185,Idaho,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,3.3076923076923075,68.92307692307692,1.0256410256410255,1.205128205128205,3.128205128205128,12.64102564102564,50.92307692307692
186,Illinois,2000,21.11242735707216,36.95548961424333,34.86943620178042,0.018017509396636978,0.027608308605341237,23.440158259149356,2.0299936409495567,4.839663699307628,6.233045674523139,0.5469560415430273,0.8071216617210663,6.905421654811727,17.862015447566158,26.606451612903225,3.0,15.612903225806452,166.70967741935485,4.587096774193548,4.8,14.374193548387098,34.44516129032258,107.96774193548387
